local_authority_area,2008_cases_total,2013_cases_total,2018_cases_total,2008_pop_total,2013_pop_total,2018_pop_total,2008_cases_male,2013_cases_male,2018_cases_male,2008_pop_male,2013_pop_male,2018_pop_male,2008_cases_female,2013_cases_female,2018_cases_female,2008_pop_female,2013_pop_female,2018_pop_female,total_budget,clean_air,clean_environ,health_training,school_awareness,media_awareness,sub_counselling,region,local_authority_type,,2008_proportion,2013_proportion,2018_proportion,if_increase
Barking and Dagenham,593,619,763,172684,179030,181779,187,190,230,83890,81915,77983,406,429,533,88794,97115,103796,139000,21000,22000,18000,41000,18000,19000,London,london_borough,,0.003434018,0.003457521,0.004197405,1
Barnet,539,594,773,340435,344062,355955,212,204,292,169060,161533,161769,327,390,481,171375,182529,194186,220000,50000,17000,23000,74000,30000,26000,London,london_borough,,0.001583268,0.001726433,0.002171623,1
Barnsley,360,451,527,226755,244010,257883,148,186,212,110384,117286,127055,212,265,315,116371,126724,130828,160000,41000,45000,5000,26000,29000,14000,Yorkshire and the Humber,metropolitan_borough,,0.001587617,0.001848285,0.002043562,1
Bath and North East Somerset,456,421,494,178625,172975,189334,157,129,156,87026,84077,90890,299,292,338,91599,88898,98444,161000,33000,42000,19000,50000,10000,7000,South West,unitary_authority,,0.002552834,0.002433878,0.002609146,1
Bedford,311,327,367,158185,164807,170463,138,145,156,75929,85074,82609,173,182,211,82256,79733,87854,130000,37000,52000,17000,8000,3000,13000,East of England,unitary_authority,,0.001966052,0.001984139,0.00215296,1
Bexley,519,601,707,226554,242730,245880,210,217,266,109743,115236,112259,309,384,441,116811,127494,133621,199000,72000,27000,14000,64000,15000,7000,London,london_borough,,0.002290845,0.002476002,0.002875386,1
Birmingham,3207,3621,3927,1026238,1083189,1086463,838,823,870,500086,481466,469046,2369,2798,3057,526152,601723,617417,831000,64000,272000,130000,126000,140000,99000,West Midlands,metropolitan_borough,,0.003125006,0.003342907,0.003614481,1
Blackburn with Darwen,831,818,962,140363,134228,142219,265,265,291,69016,67214,68412,566,553,671,71347,67014,73807,91000,15000,16000,13000,21000,18000,8000,North West,unitary_authority,,0.005920364,0.006094109,0.006764216,1
Blackpool,583,588,623,141571,143438,147545,190,173,196,69950,67665,73828,393,415,427,71621,75773,73717,99000,24000,19000,9000,28000,10000,9000,North West,unitary_authority,,0.004118075,0.004099332,0.004222441,1
Bolton,505,587,686,265521,280005,285250,225,234,288,131220,135642,138840,280,353,398,134301,144363,146410,201000,55000,68000,11000,25000,31000,11000,North West,metropolitan_borough,,0.001901921,0.002096391,0.002404908,1
Bournemouth,864,918,998,165737,179819,190307,381,372,420,80648,84082,90513,483,546,578,85089,95737,99794,130000,31000,30000,17000,39000,7000,6000,South West,unitary_authority,,0.005213079,0.005105133,0.005244158,1
Bracknell Forest,185,206,254,114787,115658,117708,74,78,99,56269,56136,55491,111,128,155,58518,59522,62217,90000,35000,25000,9000,4000,13000,4000,South East,unitary_authority,,0.001611681,0.001781113,0.002157882,1
Bradford,2428,2542,2688,504863,504141,510879,804,762,839,248039,234698,238497,1624,1780,1849,256824,269443,272382,449000,96000,147000,18000,118000,48000,22000,Yorkshire and the Humber,metropolitan_borough,,0.004809225,0.00504224,0.00526152,1
Brent,933,1074,1209,256258,274867,294183,321,389,421,123773,136295,136029,612,685,788,132485,138572,158154,239000,42000,72000,22000,48000,39000,16000,London,london_borough,,0.003640862,0.003907344,0.004109687,1
Brighton and Hove,592,571,609,255553,251843,261359,235,234,216,125681,129141,124766,357,337,393,129872,122702,136593,230000,58000,67000,15000,38000,31000,21000,South East,unitary_authority,,0.002316545,0.002267286,0.002330128,1
Bristol,1944,2008,2173,429043,432895,448375,609,520,611,207700,186052,190155,1335,1488,1562,221343,246843,258220,370000,73000,102000,37000,78000,63000,17000,South West,unitary_authority,,0.004531014,0.004638538,0.00484639,1
Bromley,611,737,935,310127,321687,336824,178,159,260,153234,148378,154644,433,578,675,156893,173309,182180,290000,32000,80000,22000,63000,59000,34000,London,london_borough,,0.001970161,0.002291047,0.00277593,1
